id,date,user_name,user_id,user_displayname,user_location,user_followers,user_friends,user_statuses,retweeted,content,lang,is_missinginfo
1399151900524744705,2021-05-30 23:53:02+00:00,Walison29721950,1093828421082337281,Walison Silva,"Sumaré, Brasil",2,25,912,,"@jdoriajr Vários países não aceitam a entrada de brasileiros vacinados com a vachina, estudos apontam que a eficácia chega a 28%, talvez seja esse o motivo do povo continuarem morrendo. Estados Unidos e Europa não vacina o povo com a vachina da China, e o Butantã não e seu.",pt,
1399151503760363523,2021-05-30 23:51:28+00:00,wellingtoncmps,395031080,#CruzeiroSempre,Contagem,6914,5893,241944,,"@glauderpassos @GomesMiguelneto @jairbolsonaro @fiocruz Perda de tempo dialogar esse assunto com os fãs do Presidente, pra eles tá tudo perfeito. Não fosse a famosa vacina da China q tanto desceram a lenha, a coisa estaria ainda pior.",pt,
1399150913248497671,2021-05-30 23:49:07+00:00,jardelovers,184592862,Obina,,455,257,26892,,"Bom...foi essa vacina que o saudoso e querido presidente não quis comprar antes pois tinha relações com a China, né? Parabéns presidente, novamente deixou tua população morrer...seguimos na espera de um estudo parecido com o uso de cloroquina e ivermectina",pt,
1399150399513366529,2021-05-30 23:47:04+00:00,MarcoAlmeidaJr,88784444,Marco,Campos dos Goytacazes - RJ,191,151,14930,,"@aandersoonn @SuyaraYarzon @CacadoradeGADOS @wpsmat @MauricioRicardo Um mês é muita coisa, e nada muda o fato do presidente ter negado 11 propostas de vacina. Deveríamos ter sido os primeiros no mundo, junto com a China",pt,
1399138330038747141,2021-05-30 22:59:07+00:00,Adriana05506017,1386736401329364998,Adriana Moreira,,18,65,190,,"@oiIuiz Kkkkkkkkkkk.toma  vergonha. Para de suja o pano , para esse chinese. Ele tinha que dar vacina e ñ  vender. O dia que tiver homens  de coragem , eu quero ver sair mais vírus  da China.",pt,
1399138213541908482,2021-05-30 22:58:39+00:00,joesel_silva,710840459007016961,Joesel Silva 🇧🇷,"Porto Alegre, Brasil",9754,6095,6304,,@folha Fala quanto a China tá ganhando com seu vírus e com a vacina q só o Brasil aceita,pt,
1399137185329303555,2021-05-30 22:54:34+00:00,LucasRoberto28,1396878971254591489,Lucas Roberto,,30,157,1596,,"@edsondamiao @HezromB @o_antagonista Vc está equivocado não falta vacina no mundo. ESTADOS UNIDOS , CHINA E ISRAEL ESTÃO BEM AVANÇADOS NA VACINAÇÃO.  As vacinas são efetivas eu escuto a ciência e vc não, confia em remédio que o Dr. BOLSONARO receita, e não somos o 4 que vacina somos o 56 .",pt,
1399136574231744512,2021-05-30 22:52:08+00:00,grungeofdelrey,1177432034714648577,julia,"Sao Paulo, Brazil",11542,10587,85490,,"@hencbru Se ele não confia na vacina da china, pq não comprou dos eua que ele cadela tanto? Ele não ta preocupado com nada não, isso é tudo desculpinha pra roubar e deixar o povo se lascando...",pt,
1399135754148880385,2021-05-30 22:48:53+00:00,RodrigoZiniFlu,170133945,Rodrigo Zini,"Maricá, Brasil",485,478,20829,,"A  Vacina veio para salvar MTA gente, que iria ter 100% de proteção contra mortes ... O Jornalista que desejou a morte do Bolsonaro, tomou duas doses e morreu, Cartola tomou 2 doses e morreu a conhecida da minha mãe tomou duas doses e morreu.... A China destruindo o mundo",pt,
1399134819523641344,2021-05-30 22:45:10+00:00,grungeofdelrey,1177432034714648577,julia,"Sao Paulo, Brazil",11542,10587,85490,,"@hencbru Exatamente tudo isso! Se o bolsonaro não concorda com a China, pq ele não libera verba pra investir na ciência e criar uma vacina daqui mesmo?! Se ele realmente tivesse preocupado com isso, já tinha feito! O problema dele é querer se aparecer",pt,
1399134027353833475,2021-05-30 22:42:01+00:00,grungeofdelrey,1177432034714648577,julia,"Sao Paulo, Brazil",11542,10587,85490,,"@hencbru Então amg, o povo ta revoltado com a vacina e esquece que a economia do Brasil depende da China tbm, se cortar isso o brasil vai pra puta que pariu",pt,
1399133767063773206,2021-05-30 22:40:59+00:00,Belle_Sissi_,1051651232278962182,Belle Direita&Conservadora,,415,1057,28499,,"@veramagalhaes Vcs estão doentes, sempre procurando alguem pra culpar.

Culpem a CHINA!

Que despejou o virus criado em seu laboratório, no mundo!!!!!

Vacina salva?
A vacina quase matou o meu pai!!!!!
A vacina matou meus amigos!",pt,
1399126840036450306,2021-05-30 22:13:27+00:00,caaf18148e3641f,3108056980,ANDERSON SANTOS,,53,262,2163,,"@maristelademelo O João  CALCINHA APERTADA doriana , fes a propaganda da vacina da China mais foi lá e tomou a da faizer,  vc acha que ele iria por a rabiola dele em risco,  uma se tomase a vachina não  poderia entrar nos EUA, os EUA não aceitam a eficiência da  vachina.",pt,
1399126617394405377,2021-05-30 22:12:34+00:00,FreirTania,858017402319237120,Tania Martinez Freir,,10323,10698,30231,,"@tercalivre A Coronavac é tão porcaria que os Chineses já entraram com pedido emergencial na Anvisa para uma outra vacina. Essa foi mal feita, como tudo que vem da China.",pt,
